epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14291,1.59168,3.45789,1.63741,0.00306,0.67223,0.26937,0.12918,1.19067,3.09887,1.33725,0.00011669,0.00011669,0.00011669
2,9.86057,1.18154,2.69718,1.40108,0.03547,0.42366,0.23681,0.12703,1.22709,2.73028,1.37966,0.000237673,0.000237673,0.000237673
3,13.4805,1.2836,2.21604,1.3655,0.00363,0.79342,0.25329,0.11403,1.17092,2.82375,1.29655,0.000345452,0.000345452,0.000345452
4,16.968,1.23156,2.21016,1.36265,0.00381,0.6417,0.16744,0.07577,1.71534,2.96221,1.60084,0.00044003,0.00044003,0.00044003
5,20.1209,1.20851,2.09164,1.31057,0.88439,0.17769,0.29348,0.15232,1.35817,2.43986,1.48553,0.000521404,0.000521404,0.000521404
6,24.774,1.25579,2.05843,1.37099,0.9441,0.1213,0.31135,0.16438,1.30039,2.44067,1.40129,0.000589576,0.000589576,0.000589576
7,27.7913,1.28779,1.97671,1.38703,0.97193,0.0642,0.32557,0.18229,1.28489,2.44833,1.35638,0.000644546,0.000644546,0.000644546
8,30.9132,1.19394,1.93402,1.32747,0.83134,0.19496,0.27867,0.16449,1.33099,2.37451,1.41376,0.000686312,0.000686312,0.000686312
9,33.9641,1.1927,1.88372,1.29849,0.845,0.30916,0.33576,0.18974,1.31229,2.04607,1.35495,0.000714876,0.000714876,0.000714876
10,38.0641,1.18809,1.82981,1.27364,0.81749,0.30153,0.33496,0.18759,1.38907,1.95404,1.4577,0.000730238,0.000730238,0.000730238
11,42.7966,1.24942,2.59958,1.42035,0.67954,0.15649,0.17332,0.08014,1.77361,2.59228,2.0539,0.000732396,0.000732396,0.000732396
12,46.1223,1.24488,2.4748,1.44238,0.8738,0.26718,0.32269,0.1781,1.3836,2.21027,1.43637,0.000721353,0.000721353,0.000721353
13,50.1295,1.20174,2.32242,1.36253,0.85464,0.25573,0.34032,0.19489,1.37811,2.02725,1.42276,0.000676802,0.000676802,0.000676802
14,53.186,1.12056,2.23103,1.33219,0.84921,0.30534,0.37044,0.22505,1.25999,1.80342,1.30078,0.000594286,0.000594286,0.000594286
15,56.0487,1.09273,2.10701,1.33994,0.91637,0.37023,0.4318,0.27866,1.17444,1.61785,1.20762,0.000511769,0.000511769,0.000511769
16,59.3986,1.05997,2.07895,1.20821,0.91305,0.37786,0.4545,0.31424,1.0881,1.50449,1.16229,0.000429253,0.000429253,0.000429253
17,63.4611,1.02528,1.91566,1.24273,0.943,0.40076,0.50814,0.34884,1.02657,1.42221,1.11637,0.000346736,0.000346736,0.000346736
18,66.4994,1.02278,1.88303,1.25663,0.45433,0.52815,0.60593,0.41119,0.96843,1.32513,1.09917,0.00026422,0.00026422,0.00026422
19,69.769,0.98768,1.86678,1.16991,0.62566,0.65315,0.65609,0.45708,0.885,1.21311,1.04135,0.000181703,0.000181703,0.000181703
20,74.0532,0.89287,1.77269,1.17199,0.7287,0.64552,0.66793,0.48007,0.83903,1.13831,1.00495,9.91865e-05,9.91865e-05,9.91865e-05
